user_name,user_password,game_title,game_genre,game_developer,game_type,session_level,session_playtime,session_is_completed,achievement_list,achievement_points
elizabeth56,EERkTdTe(3,Centralized responsive software,Simulation,"Wyatt, Smith and Little",singleplayer,Level 57,3962,True,Achiev_81,322
hernandezrebecca,Ua!7SMsK2@,Up-sized exuding functionalities,Shooter,Johns LLC,mmo,Level 14,3694,True,Achiev_46,203
christina60,KM_9JmNwU3,Enhanced explicit migration,Shooter,"Moyer, Elliott and Fuller",singleplayer,Level 17,2565,False,Achiev_59,362
ymiddleton,%2lENblOyY,Synchronized tertiary archive,RPG,"Wong, Conley and Robinson",singleplayer,Level 28,1812,True,Achiev_76,252
travis57,%LY4KjMfDr,Advanced stable model,Action,Middleton-Lowery,mmo,Level 5,1933,True,Achiev_91,207
bgonzalez,!_7K1FHxEc,Face-to-face next generation process improvement,Strategy,Johnson PLC,mmo,Level 8,735,True,Achiev_45,318
ajones,09urP%aU%(,Future-proofed bifurcated website,Simulation,Douglas-Crawford,singleplayer,Level 5,4895,False,Achiev_35,123
williamsmith,&4*BLq&G3H,Advanced stable model,Action,Middleton-Lowery,mmo,Level 58,1926,True,Achiev_6,22
hchapman,@w3buMjS7*,Synchronized tertiary archive,RPG,"Wong, Conley and Robinson",singleplayer,Level 11,132,True,Achiev_47,196
david39,&P99vVsr#y,Public-key dynamic Local Area Network,Strategy,"Foster, Ross and Callahan",mmo,Level 7,150,True,Achiev_53,481
hchapman,@w3buMjS7*,Networked logistical capability,RPG,Roberts Inc,singleplayer,Level 1,906,False,Achiev_43,34
david39,&P99vVsr#y,Configurable upward-trending leverage,Simulation,Tate-Wells,singleplayer,Level 14,3386,False,Achiev_61,432
wcox,_9j_M%NeHN,Networked logistical capability,RPG,Roberts Inc,singleplayer,Level 28,1947,False,Achiev_37,345
paul92,vj4p8tGDm&,Up-sized exuding functionalities,Shooter,Johns LLC,mmo,Level 43,4997,False,Achiev_96,441
qrodriguez,!qYgoFAx)7,Enhanced explicit migration,Shooter,"Moyer, Elliott and Fuller",singleplayer,Level 42,2945,True,Achiev_17,51
jasoncrawford,^Bb1nOLtK),Stand-alone local Graphic Interface,Strategy,Martinez-Cordova,singleplayer,Level 18,4174,False,Achiev_100,142
xsullivan,u*30IxM((g,Operative zero-defect Graphical User Interface,Simulation,Martinez PLC,singleplayer,Level 50,2270,False,Achiev_64,52
ajones,09urP%aU%(,Re-contextualized motivating array,Shooter,Hernandez-Garner,mmo,Level 47,1001,True,Achiev_12,89
krameramanda,$kGV3wh5t1,Grass-roots next generation project,Shooter,"Brown, Hendricks and Lee",singleplayer,Level 58,1112,True,Achiev_61,57
zimmermanhunter,La5)X(5mt),Cloned foreground groupware,Shooter,"Flores, Wright and Hudson",singleplayer,Level 10,908,False,Achiev_30,250
keith77,#51FYUCkMi,Automated leadingedge contingency,Action,Casey Ltd,singleplayer,Level 9,2529,False,Achiev_69,372
melissa84,@8tbArUYZ7,Networked logistical capability,RPG,Roberts Inc,singleplayer,Level 39,4178,False,Achiev_66,11
michele48,d+ZW7S)GSi,User-friendly modular concept,Strategy,Wilson-Campbell,mmo,Level 50,3174,True,Achiev_84,234
jameswilkins,(5YyBb2nMA,Object-based 24/7 data-warehouse,Simulation,Allen-Oconnor,singleplayer,Level 48,2644,False,Achiev_74,435
kariburnett,!M*0FKmK13,Grass-roots next generation project,Shooter,"Brown, Hendricks and Lee",singleplayer,Level 2,1554,False,Achiev_15,143
mcgrathdebbie,4CU)qpMt#1,Face-to-face systemic projection,RPG,"Orozco, Martinez and Vasquez",singleplayer,Level 54,2981,True,Achiev_8,76
nward,f@d9FdDpXz,Right-sized heuristic alliance,Shooter,"Martin, Sharp and Lopez",singleplayer,Level 9,2316,True,Achiev_71,141
megan40,7)YiU98q@Z,Pre-emptive bottom-line initiative,Simulation,Pena LLC,singleplayer,Level 34,944,False,Achiev_83,191
qrodriguez,!qYgoFAx)7,Stand-alone local Graphic Interface,Strategy,Martinez-Cordova,singleplayer,Level 60,4207,True,Achiev_18,271
feliciabrown,W2C+Y6Utw),Triple-buffered upward-trending info-mediaries,Action,Morrison Inc,mmo,Level 27,2982,False,Achiev_45,47
hernandezrebecca,Ua!7SMsK2@,User-friendly high-level analyzer,RPG,Kennedy Group,mmo,Level 26,1841,False,Achiev_45,475
wcox,_9j_M%NeHN,Versatile well-modulated moderator,RPG,Myers PLC,mmo,Level 26,1644,True,Achiev_52,451
madison34,)48EcND#D@,Persevering intermediate service-desk,RPG,Phelps Inc,mmo,Level 60,2306,False,Achiev_66,179
tarasampson,&VuR9FVis9,Advanced stable model,Action,Middleton-Lowery,mmo,Level 21,4956,False,Achiev_87,117
kariburnett,!M*0FKmK13,Centralized didactic collaboration,Shooter,"Daugherty, Howe and Jenkins",singleplayer,Level 5,2406,True,Achiev_98,20
mprice,3X0O%Qk*^w,De-engineered local superstructure,Action,"Rangel, Blankenship and Preston",singleplayer,Level 26,3141,True,Achiev_18,216
uharris,MDMnJ4xM^1,Re-contextualized homogeneous protocol,Action,"Kennedy, Chavez and West",mmo,Level 23,3740,False,Achiev_56,18
richardjohnson,eCGhB&Hy(3,Optimized web-enabled productivity,Strategy,Hill LLC,singleplayer,Level 47,1079,True,Achiev_27,217
paul92,vj4p8tGDm&,Enhanced interactive moratorium,Strategy,Vazquez-Lewis,singleplayer,Level 31,2883,True,Achiev_92,141
paul92,vj4p8tGDm&,Enhanced explicit migration,Shooter,"Moyer, Elliott and Fuller",singleplayer,Level 55,4176,False,Achiev_80,246
zimmermanhunter,La5)X(5mt),Centralized didactic collaboration,Shooter,"Daugherty, Howe and Jenkins",singleplayer,Level 23,833,False,Achiev_12,219
schmidtlori,48YOf+)7_9,Pre-emptive bottom-line initiative,Simulation,Pena LLC,singleplayer,Level 50,1487,True,Achiev_36,243
morganjonathon,^1gEOs10)J,Stand-alone local Graphic Interface,Strategy,Martinez-Cordova,singleplayer,Level 6,4158,False,Achiev_21,318
james73,fX_Gy2Zm!0,Open-source reciprocal policy,Action,Stanley-Vaughn,singleplayer,Level 47,2656,False,Achiev_6,101
joseph51,IL_Vat*M@9,User-friendly modular concept,Strategy,Wilson-Campbell,mmo,Level 27,2743,False,Achiev_91,397
matthew13,@VRTVHkB6*,Stand-alone local Graphic Interface,Strategy,Martinez-Cordova,singleplayer,Level 13,2833,False,Achiev_6,347
jburns,JBSy6MzI%l,Centralized didactic collaboration,Shooter,"Daugherty, Howe and Jenkins",singleplayer,Level 45,4270,True,Achiev_31,146
robert71,)tkcUy%A7Y,Up-sized exuding functionalities,Shooter,Johns LLC,mmo,Level 49,2190,False,Achiev_68,476
melissamaldonado,XlM_3@PQz^,Profound multimedia policy,Action,"Cook, Taylor and Gutierrez",mmo,Level 31,389,True,Achiev_16,237
jasoncrawford,^Bb1nOLtK),Future-proofed cohesive budgetary management,Simulation,"Callahan, Wang and Smith",singleplayer,Level 34,2718,True,Achiev_46,402
johnsonstacey,(4Rykvm9b4,Advanced stable model,Action,Middleton-Lowery,mmo,Level 26,3897,False,Achiev_48,238
kellerkristin,aXbfQs4N(7,Up-sized exuding functionalities,Shooter,Johns LLC,mmo,Level 13,170,False,Achiev_42,198
leejeffrey,o$cfV4n+mF,Advanced stable model,Action,Middleton-Lowery,mmo,Level 34,4096,True,Achiev_50,328
eric33,RPCr2SOc(L,Re-engineered needs-based ability,Action,"Shaw, Peters and Patrick",mmo,Level 39,490,False,Achiev_21,239
othomas,*Y50IzuTcS,Optimized web-enabled productivity,Strategy,Hill LLC,singleplayer,Level 48,2347,False,Achiev_86,425
uharris,MDMnJ4xM^1,Enterprise-wide methodical knowledgebase,Strategy,Wilkinson Ltd,singleplayer,Level 49,2317,False,Achiev_28,455
sean69,%BXHeiHse6,Enterprise-wide methodical knowledgebase,Strategy,Wilkinson Ltd,singleplayer,Level 3,3731,True,Achiev_4,402
williamsbrandon,79MPcC_u(f,Phased eco-centric service-desk,Action,"Rodriguez, Anderson and Patton",mmo,Level 33,2363,True,Achiev_33,178
logan03,*7IS5Gyv)M,Centralized responsive software,Simulation,"Wyatt, Smith and Little",singleplayer,Level 8,2420,False,Achiev_6,56
hbaker,xuT3uTEub+,Enterprise-wide methodical knowledgebase,Strategy,Wilkinson Ltd,singleplayer,Level 43,1559,True,Achiev_37,208
scottpaul,pr6lxHlL_&,Re-engineered needs-based ability,Action,"Shaw, Peters and Patrick",mmo,Level 20,414,False,Achiev_8,114
logan03,*7IS5Gyv)M,Persevering intermediate service-desk,RPG,Phelps Inc,mmo,Level 30,2868,True,Achiev_79,111
schmidtlori,48YOf+)7_9,Public-key dynamic Local Area Network,Strategy,"Foster, Ross and Callahan",mmo,Level 15,676,False,Achiev_32,96
randall21,$2o2Bs+nh0,Re-contextualized homogeneous protocol,Action,"Kennedy, Chavez and West",mmo,Level 33,3783,True,Achiev_6,345
williamstammy,p#5lQBIg+9,Open-source reciprocal policy,Action,Stanley-Vaughn,singleplayer,Level 18,2566,True,Achiev_31,365
kingdeanna,kP*l2Fy*Mw,Triple-buffered upward-trending info-mediaries,Action,Morrison Inc,mmo,Level 54,3776,False,Achiev_65,175
david15,4K8uQCava&,Object-based optimal service-desk,Shooter,Ortiz-Newton,singleplayer,Level 40,4696,False,Achiev_84,400
melissa84,@8tbArUYZ7,Future-proofed bifurcated website,Simulation,Douglas-Crawford,singleplayer,Level 49,380,True,Achiev_69,461
yrose,G5N32g#s_a,Object-based 24/7 data-warehouse,Simulation,Allen-Oconnor,singleplayer,Level 39,4782,False,Achiev_61,346
jeffreydavis,&nWpTQhM+3,Profound multimedia policy,Action,"Cook, Taylor and Gutierrez",mmo,Level 47,2257,False,Achiev_13,441
scottpaul,pr6lxHlL_&,Grass-roots next generation project,Shooter,"Brown, Hendricks and Lee",singleplayer,Level 34,860,True,Achiev_31,214
madison34,)48EcND#D@,Monitored empowering open architecture,Strategy,"Miller, Swanson and Sherman",mmo,Level 51,1233,False,Achiev_13,209
julia10,@PL8MHofj7,Cloned foreground groupware,Shooter,"Flores, Wright and Hudson",singleplayer,Level 52,3621,True,Achiev_46,185
xsullivan,u*30IxM((g,Enhanced explicit migration,Shooter,"Moyer, Elliott and Fuller",singleplayer,Level 8,3953,True,Achiev_12,153
rosskimberly,@Z6RpuhNjG,User-friendly high-level analyzer,RPG,Kennedy Group,mmo,Level 36,2073,False,Achiev_10,356
phawkins,#KWawSKav6,Optimized web-enabled productivity,Strategy,Hill LLC,singleplayer,Level 43,3263,False,Achiev_82,398
david15,4K8uQCava&,Enhanced interactive moratorium,Strategy,Vazquez-Lewis,singleplayer,Level 7,4596,True,Achiev_93,44
gillroger,tYu9MuOk!c,Ergonomic value-added Internet solution,Action,Parker Group,mmo,Level 40,2341,False,Achiev_51,394
kempmelanie,OR0Vy7Ad&L,Re-contextualized homogeneous protocol,Action,"Kennedy, Chavez and West",mmo,Level 31,3812,True,Achiev_80,367
anthonydavidson,)%ux&8ScBf,Stand-alone content-based utilization,Simulation,Hill Ltd,mmo,Level 57,1623,False,Achiev_27,285
ccurtis,^i&U1WhVX!,Re-contextualized homogeneous protocol,Action,"Kennedy, Chavez and West",mmo,Level 53,677,False,Achiev_14,269
fjackson,8+$YNJYe!v,Centralized didactic collaboration,Shooter,"Daugherty, Howe and Jenkins",singleplayer,Level 58,4077,True,Achiev_32,441
michele48,d+ZW7S)GSi,Enhanced interactive moratorium,Strategy,Vazquez-Lewis,singleplayer,Level 24,3330,False,Achiev_99,197
qrodriguez,!qYgoFAx)7,Upgradable transitional instruction set,Strategy,Lopez-Sullivan,singleplayer,Level 60,4860,True,Achiev_92,328
kariburnett,!M*0FKmK13,Persevering intermediate service-desk,RPG,Phelps Inc,mmo,Level 57,620,False,Achiev_10,40
crystal57,)&KRkmjXk6,User-friendly high-level analyzer,RPG,Kennedy Group,mmo,Level 15,2426,True,Achiev_8,396
jburns,JBSy6MzI%l,Enhanced explicit migration,Shooter,"Moyer, Elliott and Fuller",singleplayer,Level 7,4538,True,Achiev_46,213
keith77,#51FYUCkMi,Profound multimedia policy,Action,"Cook, Taylor and Gutierrez",mmo,Level 30,3312,False,Achiev_22,29
smithcarrie,F(1D+LqllX,Public-key dynamic Local Area Network,Strategy,"Foster, Ross and Callahan",mmo,Level 37,398,False,Achiev_83,211
anthonydavidson,)%ux&8ScBf,Object-based 24/7 data-warehouse,Simulation,Allen-Oconnor,singleplayer,Level 17,1280,False,Achiev_84,144
jfarmer,9%9ACkdQq^,Versatile well-modulated moderator,RPG,Myers PLC,mmo,Level 34,3937,True,Achiev_86,143
shannonhill,!F($y8CxR0,Re-contextualized homogeneous protocol,Action,"Kennedy, Chavez and West",mmo,Level 28,3227,False,Achiev_55,412
julia10,@PL8MHofj7,Re-contextualized motivating array,Shooter,Hernandez-Garner,mmo,Level 59,63,False,Achiev_51,78
jeffreydavis,&nWpTQhM+3,Object-based 24/7 data-warehouse,Simulation,Allen-Oconnor,singleplayer,Level 53,346,True,Achiev_73,185
smithcarrie,F(1D+LqllX,Synchronized tertiary archive,RPG,"Wong, Conley and Robinson",singleplayer,Level 10,1116,False,Achiev_42,59
randall21,$2o2Bs+nh0,Centralized didactic collaboration,Shooter,"Daugherty, Howe and Jenkins",singleplayer,Level 39,4606,True,Achiev_28,400
hchapman,@w3buMjS7*,Upgradable transitional instruction set,Strategy,Lopez-Sullivan,singleplayer,Level 23,1517,False,Achiev_34,88
isanders,5G4@ljXe_W,Cloned human-resource Graphical User Interface,Action,Miller-Johnson,mmo,Level 32,3828,False,Achiev_85,41
brandon56,q&3nCUBj5&,Synchronized tertiary archive,RPG,"Wong, Conley and Robinson",singleplayer,Level 52,1230,True,Achiev_100,236
hernandezrebecca,Ua!7SMsK2@,Future-proofed bifurcated website,Simulation,Douglas-Crawford,singleplayer,Level 21,2451,False,Achiev_92,369
david27,&UqVDsrUj8,Innovative tertiary process improvement,Action,"Luna, Peters and Lambert",singleplayer,Level 56,1394,True,Achiev_46,279
zachary51,909Yy3y9+O,Future-proofed bifurcated website,Simulation,Douglas-Crawford,singleplayer,Level 54,1582,True,Achiev_3,404
jasoncrawford,^Bb1nOLtK),Face-to-face systemic projection,RPG,"Orozco, Martinez and Vasquez",singleplayer,Level 2,2958,True,Achiev_48,109
kingdeanna,kP*l2Fy*Mw,Object-based 24/7 data-warehouse,Simulation,Allen-Oconnor,singleplayer,Level 7,1618,False,Achiev_100,67
aaron06,$Qfo1AGt+Y,Ergonomic value-added Internet solution,Action,Parker Group,mmo,Level 53,193,False,Achiev_45,244
zimmermanhunter,La5)X(5mt),Upgradable transitional instruction set,Strategy,Lopez-Sullivan,singleplayer,Level 24,1945,True,Achiev_12,439
gillroger,tYu9MuOk!c,Up-sized exuding functionalities,Shooter,Johns LLC,mmo,Level 6,1265,True,Achiev_9,434
yrose,G5N32g#s_a,Re-contextualized homogeneous protocol,Action,"Kennedy, Chavez and West",mmo,Level 19,4261,True,Achiev_33,305
robert71,)tkcUy%A7Y,Right-sized heuristic alliance,Shooter,"Martin, Sharp and Lopez",singleplayer,Level 34,3195,False,Achiev_5,301
melissa84,@8tbArUYZ7,Enhanced explicit migration,Shooter,"Moyer, Elliott and Fuller",singleplayer,Level 33,1928,True,Achiev_100,332
estesbrent,r8&LgKc++3,Front-line composite adapter,Action,Kramer-Robertson,singleplayer,Level 13,2627,True,Achiev_86,10
keith77,#51FYUCkMi,Synchronized tertiary archive,RPG,"Wong, Conley and Robinson",singleplayer,Level 4,4332,True,Achiev_82,482
eholloway,!Te4O3wG8G,Object-based optimal service-desk,Shooter,Ortiz-Newton,singleplayer,Level 33,4799,True,Achiev_80,252
joshua09,)yDjjmbf95,Centralized didactic collaboration,Shooter,"Daugherty, Howe and Jenkins",singleplayer,Level 23,3440,True,Achiev_51,98
adriana84,k5L%IK*w&R,User-friendly high-level analyzer,RPG,Kennedy Group,mmo,Level 50,89,True,Achiev_57,284
kariburnett,!M*0FKmK13,Future-proofed cohesive budgetary management,Simulation,"Callahan, Wang and Smith",singleplayer,Level 21,331,True,Achiev_27,407
jburns,JBSy6MzI%l,Future-proofed bifurcated website,Simulation,Douglas-Crawford,singleplayer,Level 31,2075,True,Achiev_95,32
jburns,JBSy6MzI%l,Reduced regional policy,RPG,Simpson LLC,mmo,Level 25,1828,True,Achiev_9,468
williamsmith,&4*BLq&G3H,Persevering intermediate service-desk,RPG,Phelps Inc,mmo,Level 56,3997,False,Achiev_31,354
travis57,%LY4KjMfDr,Re-contextualized motivating array,Shooter,Hernandez-Garner,mmo,Level 59,4283,False,Achiev_40,416
eric33,RPCr2SOc(L,Cloned foreground groupware,Shooter,"Flores, Wright and Hudson",singleplayer,Level 21,3950,True,Achiev_35,337
collinsjessica,3$4E0hLh@h,Right-sized heuristic alliance,Shooter,"Martin, Sharp and Lopez",singleplayer,Level 13,2342,True,Achiev_4,399
scottpaul,pr6lxHlL_&,Cloned human-resource Graphical User Interface,Action,Miller-Johnson,mmo,Level 10,2873,True,Achiev_39,437
anthonydavidson,)%ux&8ScBf,Centralized didactic collaboration,Shooter,"Daugherty, Howe and Jenkins",singleplayer,Level 23,1686,False,Achiev_65,460
creynolds,8!QMVy67_O,Object-based optimal service-desk,Shooter,Ortiz-Newton,singleplayer,Level 59,3580,False,Achiev_67,427
ajones,09urP%aU%(,Public-key dynamic Local Area Network,Strategy,"Foster, Ross and Callahan",mmo,Level 49,1826,False,Achiev_20,388
othomas,*Y50IzuTcS,Configurable upward-trending leverage,Simulation,Tate-Wells,singleplayer,Level 31,1512,True,Achiev_1,50
melissamaldonado,XlM_3@PQz^,Automated leadingedge contingency,Action,Casey Ltd,singleplayer,Level 14,1982,True,Achiev_41,35
connor89,q25$3IlAu*,Persevering intermediate service-desk,RPG,Phelps Inc,mmo,Level 2,1907,True,Achiev_70,298
leejeffrey,o$cfV4n+mF,Automated leadingedge contingency,Action,Casey Ltd,singleplayer,Level 5,4263,False,Achiev_65,72
uharris,MDMnJ4xM^1,Object-based optimal service-desk,Shooter,Ortiz-Newton,singleplayer,Level 32,4366,False,Achiev_9,364
mprice,3X0O%Qk*^w,Cloned human-resource Graphical User Interface,Action,Miller-Johnson,mmo,Level 32,3036,False,Achiev_84,497
hdudley,a%UT(og8$5,Stand-alone content-based utilization,Simulation,Hill Ltd,mmo,Level 40,4195,True,Achiev_84,227
creynolds,8!QMVy67_O,Ergonomic value-added Internet solution,Action,Parker Group,mmo,Level 28,4342,False,Achiev_28,351
michael63,+el&2NYuDa,Triple-buffered upward-trending info-mediaries,Action,Morrison Inc,mmo,Level 12,1599,True,Achiev_83,299
ejackson,E$i0TdurGY,Automated leadingedge contingency,Action,Casey Ltd,singleplayer,Level 44,1019,False,Achiev_29,261
james73,fX_Gy2Zm!0,Automated leadingedge contingency,Action,Casey Ltd,singleplayer,Level 27,3772,False,Achiev_8,71
hdudley,a%UT(og8$5,Stand-alone local Graphic Interface,Strategy,Martinez-Cordova,singleplayer,Level 19,912,True,Achiev_70,264
christina20,yHZ#s_BZ!9,Optimized web-enabled productivity,Strategy,Hill LLC,singleplayer,Level 48,3010,False,Achiev_93,487
zimmermanhunter,La5)X(5mt),Configurable upward-trending leverage,Simulation,Tate-Wells,singleplayer,Level 56,4047,True,Achiev_29,120
kariburnett,!M*0FKmK13,Object-based 24/7 data-warehouse,Simulation,Allen-Oconnor,singleplayer,Level 42,3727,True,Achiev_61,220
collinsjessica,3$4E0hLh@h,Re-contextualized optimizing analyzer,Shooter,Lawrence Ltd,singleplayer,Level 7,2596,False,Achiev_64,322
melissa84,@8tbArUYZ7,Face-to-face systemic projection,RPG,"Orozco, Martinez and Vasquez",singleplayer,Level 26,2806,True,Achiev_38,325
jacksonmelissa,!&cZGpz1u4,Re-engineered needs-based ability,Action,"Shaw, Peters and Patrick",mmo,Level 35,4952,False,Achiev_86,283
keith83,Q*1pDOyza@,Stand-alone local Graphic Interface,Strategy,Martinez-Cordova,singleplayer,Level 41,271,True,Achiev_17,87
rosskimberly,@Z6RpuhNjG,Operative zero-defect Graphical User Interface,Simulation,Martinez PLC,singleplayer,Level 52,1399,True,Achiev_10,61
madison34,)48EcND#D@,Ergonomic value-added Internet solution,Action,Parker Group,mmo,Level 41,3989,True,Achiev_18,488
shannonhill,!F($y8CxR0,Automated leadingedge contingency,Action,Casey Ltd,singleplayer,Level 34,1488,False,Achiev_24,142
williamsbrandon,79MPcC_u(f,Stand-alone content-based utilization,Simulation,Hill Ltd,mmo,Level 38,887,True,Achiev_46,66
david27,&UqVDsrUj8,Enhanced explicit migration,Shooter,"Moyer, Elliott and Fuller",singleplayer,Level 36,2773,True,Achiev_9,265
jameswilkins,(5YyBb2nMA,Configurable upward-trending leverage,Simulation,Tate-Wells,singleplayer,Level 34,2747,True,Achiev_31,387
feliciabrown,W2C+Y6Utw),Re-contextualized homogeneous protocol,Action,"Kennedy, Chavez and West",mmo,Level 27,2256,True,Achiev_54,141
richardjohnson,eCGhB&Hy(3,Face-to-face next generation process improvement,Strategy,Johnson PLC,mmo,Level 45,4087,False,Achiev_93,191
richardjohnson,eCGhB&Hy(3,Up-sized exuding functionalities,Shooter,Johns LLC,mmo,Level 36,1198,False,Achiev_39,393
leemonica,$_W4xp0o!2,Synchronized tertiary archive,RPG,"Wong, Conley and Robinson",singleplayer,Level 3,979,False,Achiev_47,438
kariburnett,!M*0FKmK13,Face-to-face systemic projection,RPG,"Orozco, Martinez and Vasquez",singleplayer,Level 50,2084,False,Achiev_6,34
schmidtlori,48YOf+)7_9,Re-contextualized motivating array,Shooter,Hernandez-Garner,mmo,Level 50,3176,False,Achiev_38,213
keith83,Q*1pDOyza@,Pre-emptive bottom-line initiative,Simulation,Pena LLC,singleplayer,Level 30,1147,True,Achiev_99,240
creynolds,8!QMVy67_O,Centralized responsive software,Simulation,"Wyatt, Smith and Little",singleplayer,Level 12,1931,False,Achiev_79,118
hbaker,xuT3uTEub+,Triple-buffered upward-trending info-mediaries,Action,Morrison Inc,mmo,Level 19,4171,True,Achiev_30,105
james73,fX_Gy2Zm!0,Monitored empowering open architecture,Strategy,"Miller, Swanson and Sherman",mmo,Level 18,1872,True,Achiev_95,212
james73,fX_Gy2Zm!0,Upgradable transitional instruction set,Strategy,Lopez-Sullivan,singleplayer,Level 3,1690,False,Achiev_45,262
zachary51,909Yy3y9+O,Cloned foreground groupware,Shooter,"Flores, Wright and Hudson",singleplayer,Level 17,1854,True,Achiev_34,343
kariburnett,!M*0FKmK13,Optimized web-enabled productivity,Strategy,Hill LLC,singleplayer,Level 31,3496,True,Achiev_83,188
